Kode Kemendagri,Kabupaten,Provinsi,Ibu Kota,Kecamatan,Kelurahan/Desa
74.11,Kabupaten Kolaka Timur,Sulawesi Tenggara,Tirawuta,12,133
74.08,Kabupaten Kolaka Utara,Sulawesi Tenggara,Lasusua,15,133
74.12,Kabupaten Konawe Kepulauan,Sulawesi Tenggara,Langara,7,96
74.05,Kabupaten Konawe Selatan,Sulawesi Tenggara,Andolo,25,351
74.09,Kabupaten Konawe Utara,Sulawesi Tenggara,Wanggudu,13,170
74.02,Kabupaten Konawe,Sulawesi Tenggara,Unaaha,27,354
63.02,Kabupaten Kotabaru,Kalimantan Selatan,Kotabaru,21,202
62.01,Kabupaten Kotawaringin Barat,Kalimantan Tengah,Pangkalan Bun,6,94
62.02,Kabupaten Kotawaringin Timur,Kalimantan Tengah,Sampit,17,185
14.09,Kabupaten Kuantan Singingi,Riau,Taluk Kuantan,15,229
61.12,Kabupaten Kubu Raya,Kalimantan Barat,Sungai Raya,9,117
33.19,Kabupaten Kudus,Jawa Tengah,Kudus,9,132
34.01,Kabupaten Kulon Progo,Yogyakarta,Kecamatan Wates,12,88
32.08,Kabupaten Kuningan,Jawa Barat,Kuningan,32,376
53.01,Kabupaten Kupang,Nusa Tenggara Timur,Kupang,24,177
64.07,Kabupaten Kutai Barat,Kalimantan Timur,Sendawar,16,194
64.02,Kabupaten Kutai Kartanegara,Kalimantan Timur,Tenggarong,18,237
64.08,Kabupaten Kutai Timur,Kalimantan Timur,Sangatta,18,141
12.22,Kabupaten Labuhanbatu Selatan,Sumatra Utara,Kota Pinang,5,54
12.23,Kabupaten Labuhanbatu Utara,Sumatra Utara,Aek Kanopan,8,90
12.10,Kabupaten Labuhanbatu,Sumatra Utara,Rantau Prapat,9,98
16.04,Kabupaten Lahat,Sumatra Selatan,Lahat,24,378
62.09,Kabupaten Lamandau,Kalimantan Tengah,Nanga Bulik,8,88
35.24,Kabupaten Lamongan,Jawa Timur,Lamongan,27,474
18.04,Kabupaten Lampung Barat,Lampung,Kota Liwa,15,136
18.01,Kabupaten Lampung Selatan,Lampung,Kalianda (kota),17,260
18.02,Kabupaten Lampung Tengah,Lampung,Gunung Sugih,28,311
18.07,Kabupaten Lampung Timur,Lampung,Sukadana,24,264
18.03,Kabupaten Lampung Utara,Lampung,Kotabumi,23,247
61.08,Kabupaten Landak,Kalimantan Barat,Ngabang,13,156
12.05,Kabupaten Langkat,Sumatra Utara,Stabat,23,277
91.23,Kabupaten Lanny Jaya,Papua Pegunungan,Tiom,39,355
36.02,Kabupaten Lebak,Banten,Rangkasbitung,28,345
17.07,Kabupaten Lebong,Bengkulu,Muara Aman,12,104
53.13,Kabupaten Lembata,Nusa Tenggara Timur,Lewoleba,9,151
13.07,Kabupaten Lima Puluh Kota,Sumatra Barat,Sarilamak,13,79
21.04,Kabupaten Lingga,Kepulauan Riau,"Daik, Lingga",10,82
52.01,Kabupaten Lombok Barat,Nusa Tenggara Barat,Mataram,10,122
52.02,Kabupaten Lombok Tengah,Nusa Tenggara Barat,Praya,12,139
52.03,Kabupaten Lombok Timur,Nusa Tenggara Barat,Selong,20,254
52.08,Kabupaten Lombok Utara,Nusa Tenggara Barat,Tanjung,5,33
35.08,Kabupaten Lumajang,Jawa Timur,Lumajang,21,205
73.17,Kabupaten Luwu,Sulawesi Selatan,Belopa,22,227
73.24,Kabupaten Luwu Timur,Sulawesi Selatan,Malili,11,127
73.22,Kabupaten Luwu Utara,Sulawesi Selatan,Masamba,12,173
35.19,Kabupaten Madiun,Jawa Timur,Madiun,15,206
33.08,Kabupaten Magelang,Jawa Tengah,Kota Mungkid,21,372
35.20,Kabupaten Magetan,Jawa Timur,Magetan,18,235
64.11,Kabupaten Mahakam Ulu,Kalimantan Timur,Batu Bulan,5,50
32.10,Kabupaten Majalengka,Jawa Barat,Majalengka,26,343
76.05,Kabupaten Majene,Sulawesi Barat,Majene,8,82
53.21,Kabupaten Malaka,Nusa Tenggara Timur,Betun,12,127
35.07,Kabupaten Malang,Jawa Timur,Kepanjen,33,390
65.02,Kabupaten Malinau,Kalimantan Utara,Malinau,15,109
81.08,Kabupaten Maluku Barat Daya,Maluku,Wonreli (de facto),17,118
81.01,Kabupaten Maluku Tengah,Maluku,Masohi,18,192
81.03,Kabupaten Maluku Tenggara Barat,Maluku,Saumlaki,10,82
81.02,Kabupaten Maluku Tenggara,Maluku,Langgur,11,191
76.03,Kabupaten Mamasa,Sulawesi Barat,Mamasa,17,181
91.20,Kabupaten Mamberamo Raya,Papua,Burmeso,8,60
91.21,Kabupaten Mamberamo Tengah,Papua Pegunungan,Kobakma,5,59
76.02,Kabupaten Mamuju,Sulawesi Barat,Mamuju,11,101
76.06,Kabupaten Mamuju Tengah,Sulawesi Barat,Tobadak,5,54
76.01,Kabupaten Mamuju Utara,Sulawesi Barat,Pasangkayu,12,63
12.13,Kabupaten Mandailing Natal,Sumatra Utara,Panyabungan,23,404
53.15,Kabupaten Manggarai Barat,Nusa Tenggara Timur,Labuan Bajo,12,169
53.19,Kabupaten Manggarai Timur,Nusa Tenggara Timur,Borong,9,176
53.10,Kabupaten Manggarai,Nusa Tenggara Timur,Ruteng,12,171
92.02,Kabupaten Manokwari,Papua Barat,Manokwari,9,173
92.11,Kabupaten Manokwari Selatan,Papua Barat,Ransiki,6,57
91.17,Kabupaten Mappi,Papua Selatan,Kepi,15,164
73.09,Kabupaten Maros,Sulawesi Selatan,Turikale,14,103
92.10,Kabupaten Maybrat,Papua Barat Daya,Kumurkek,24,260
61.10,Kabupaten Melawi,Kalimantan Barat,Nanga Pinoh,11,169
15.02,Kabupaten Merangin,Jambi,Bangko,24,215
91.01,Kabupaten Merauke,Papua Selatan,Merauke,20,190
18.11,Kabupaten Mesuji,Lampung,Mesuji,7,105
91.09,Kabupaten Mimika,Papua Tengah,Timika,18,152
71.02,Kabupaten Minahasa,Sulawesi Utara,Tondano,25,270
71.05,Kabupaten Minahasa Selatan,Sulawesi Utara,Amurang,17,177
71.07,Kabupaten Minahasa Tenggara,Sulawesi Utara,Ratahan,12,144
71.06,Kabupaten Minahasa Utara,Sulawesi Utara,Airmadidi,10,131
35.16,Kabupaten Mojokerto,Jawa Timur,Mojokerto,18,304
72.06,Kabupaten Morowali,Sulawesi Tengah,Bungku,9,133
72.12,Kabupaten Morowali Utara,Sulawesi Tengah,Kolonodale,10,125
16.03,Kabupaten Muara Enim,Sumatra Selatan,Muara Enim,20,255
15.05,Kabupaten Muaro Jambi,Jambi,Sengeti,11,155
17.06,Kabupaten Mukomuko,Bengkulu,Mukomuko,15,151
74.03,Kabupaten Muna,Sulawesi Tenggara,Raha,22,151
74.13,Kabupaten Muna Barat,Sulawesi Tenggara,Laworo,11,86
62.12,Kabupaten Murung Raya,Kalimantan Tengah,Purukcahu,10,125
16.06,Kabupaten Musi Banyuasin,Sumatra Selatan,Sekayu,14,240
16.05,Kabupaten Musi Rawas,Sumatra Selatan,Muara Beliti Baru,14,199
16.13,Kabupaten Musi Rawas Utara,Sumatra Selatan,Rupit,7,89
91.04,Kabupaten Nabire,Papua Tengah,Nabire,15,81
11.15,Kabupaten Nagan Raya,Aceh,Suka Makmue,10,222
53.16,Kabupaten Nagekeo,Nusa Tenggara Timur,Mbay,7,113
21.03,Kabupaten Natuna,Kepulauan Riau,"Ranai, Bunguran Timur",15,76
91.24,Kabupaten Nduga,Papua Pegunungan,Kenyam,32,248
53.09,Kabupaten Ngada,Nusa Tenggara Timur,Bajawa,12,151
35.18,Kabupaten Nganjuk,Jawa Timur,Nganjuk,20,284
35.21,Kabupaten Ngawi,Jawa Timur,Ngawi,19,217
12.25,Kabupaten Nias Barat,Sumatra Utara,Lahomi,8,105
12.14,Kabupaten Nias Selatan,Sumatra Utara,Teluk Dalam,35,461
12.24,Kabupaten Nias Utara,Sumatra Utara,Lotu,11,113
12.04,Kabupaten Nias,Sumatra Utara,Gunung Sitoli,10,170
65.03,Kabupaten Nunukan,Kalimantan Utara,Nunukan,19,240
16.10,Kabupaten Ogan Ilir,Sumatra Selatan,Indralaya,16,241
16.02,Kabupaten Ogan Komering Ilir,Sumatra Selatan,Kota Kayu Agung,18,327
16.09,Kabupaten Ogan Komering Ulu Selatan,Sumatra Selatan,Muaradua,19,259
16.08,Kabupaten Ogan Komering Ulu Timur,Sumatra Selatan,Martapura,20,312
16.01,Kabupaten Ogan Komering Ulu,Sumatra Selatan,Baturaja,13,157
35.01,Kabupaten Pacitan,Jawa Timur,Pacitan,12,171
12.20,Kabupaten Padang Lawas Utara,Sumatra Utara,Gunung Tua,12,388
12.21,Kabupaten Padang Lawas,Sumatra Utara,Sibuhuan,12,304
13.05,Kabupaten Padang Pariaman,Sumatra Barat,Parit Malintang,17,103
12.15,Kabupaten Pakpak Bharat,Sumatra Utara,Salak,8,52
35.28,Kabupaten Pamekasan,Jawa Timur,Pamekasan,13,189
36.01,Kabupaten Pandeglang,Banten,Pandeglang,35,339
36.18,Kabupaten Pangandaran,Jawa Barat,Parigi,10,93
73.10,Kabupaten Pangkajene dan Kepulauan,Sulawesi Selatan,Pangkajene,13,103
91.08,Kabupaten Paniai,Papua Tengah,Enarotali,23,221
72.08,Kabupaten Parigi Moutong,Sulawesi Tengah,Parigi,23,283
13.12,Kabupaten Pasaman Barat,Sumatra Barat,Simpang Ampek,11,19
13.08,Kabupaten Pasaman,Sumatra Barat,Lubuk Sikaping,12,37
64.01,Kabupaten Paser,Kalimantan Timur,Tanah Grogot,10,144
35.14,Kabupaten Pasuruan,Jawa Timur,Pasuruan,24,365
33.18,Kabupaten Pati,Jawa Tengah,Pati,21,406
92.12,Kabupaten Pegunungan Arfak,Papua Barat,Anggi,10,166
91.12,Kabupaten Pegunungan Bintang,Papua Pegunungan,Oksibil,34,277
33.26,Kabupaten Pekalongan,Jawa Tengah,Kajen,19,285
14.05,Kabupaten Pelalawan,Riau,Pangkalan Kerinci,12,118
33.27,Kabupaten Pemalang,Jawa Tengah,Pemalang,14,222
64.09,Kabupaten Penajam Paser Utara,Kalimantan Timur,Penajam,4,54
16.12,Kabupaten Penukal Abab Lematang Ilir,Sumatra Selatan,Talang Ubi,5,71
18.09,Kabupaten Pesawaran,Lampung,Gedong Tataan,11,144
18.13,Kabupaten Pesisir Barat,Lampung,Pasar Krui,11,118
13.01,Kabupaten Pesisir Selatan,Sumatra Barat,Painan,15,182
11.18,Kabupaten Pidie Jaya,Aceh,Meureudu,8,222
11.07,Kabupaten Pidie,Aceh,Sigli,23,730
73.15,Kabupaten Pinrang,Sulawesi Selatan,Pinrang,12,108
75.04,Kabupaten Pohuwato,Gorontalo,Marisa,13,104
76.04,Kabupaten Polewali Mandar,Sulawesi Barat,Polewali,16,167
35.02,Kabupaten Ponorogo,Jawa Timur,Ponorogo,21,307
61.02,Kabupaten Mempawah,Kalimantan Barat,Mempawah,9,67
72.02,Kabupaten Poso,Sulawesi Tengah,Poso,19,170
18.10,Kabupaten Pringsewu,Lampung,Pringsewu,9,131
35.13,Kabupaten Probolinggo,Jawa Timur,Kraksaan,24,330
62.11,Kabupaten Pulang Pisau,Kalimantan Tengah,Pulang Pisau,8,99
82.07,Kabupaten Pulau Morotai,Maluku Utara,Morotai Selatan,5,88
82.08,Kabupaten Pulau Taliabu,Maluku Utara,Bobong,8,71
91.07,Kabupaten Puncak Jaya,Papua Tengah,Kotamulia,26,305
91.25,Kabupaten Puncak,Papua Tengah,Ilaga,25,206
